Date,Adj Close,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Return
2025-10-24,261.85272216796875,262.82000732421875,264.1300048828125,259.17999267578125,261.19000244140625,38253700,257.94285365513394,252.43133188883465,0.012481781799657865
2025-10-27,267.8206787109375,268.8099975585937,269.1199951171875,264.6499938964844,264.8800048828125,44888200,260.9942823137556,253.501665242513,0.022791226190727487
2025-10-28,268.0099792480469,269.0,269.8900146484375,268.1499938964844,268.989990234375,41534800,263.3814261300223,254.52999877929688,0.0007068280314421749
2025-10-29,268.7073974609375,269.70001220703125,271.4100036621094,267.1099853515625,269.2799987792969,51086700,264.4471435546875,255.5536656697591,0.0026022758625696696
2025-10-30,270.401123046875,271.3999938964844,274.1400146484375,268.4800109863281,271.989990234375,69886500,265.6800013950893,256.6709986368815,0.006303231785351748
2025-10-31,269.3749389648437,270.3699951171875,277.32000732421875,269.1600036621094,276.989990234375,86167100,267.3828560965402,257.49999847412107,-0.0037951319176879883
2025-11-03,268.05975341796875,269.04998779296875,270.8500061035156,266.25,270.4200134277344,50194600,268.73571341378346,257.93233184814454,-0.0048822256465500535
2025-11-04,269.0461730957031,270.0400085449219,271.489990234375,267.6199951171875,268.3299865722656,49274800,269.7671421595982,258.4526657104492,0.003679690752169673
2025-11-05,269.14581298828125,270.1400146484375,271.70001220703125,266.92999267578125,268.6099853515625,43683100,269.9571446010045,259.04699961344403,0.00037033809935982376
2025-11-06,268.7771301269531,269.7699890136719,273.3999938964844,267.8900146484375,267.8900146484375,51204000,270.06714303152904,259.4769994099935,-0.001369754996301431
2025-11-07,267.48193359375,268.4700012207031,272.2900085449219,266.7699890136719,269.79998779296875,48227400,269.8914271763393,259.91066589355466,-0.004818874767062664
2025-11-10,268.6986083984375,269.42999267578125,273.7300109863281,267.4599914550781,268.9599914550781,41312400,269.60999843052457,260.41066589355466,0.003575786682732396
2025-11-11,274.5028076171875,275.25,275.9100036621094,269.79998779296875,269.8099975585937,46208300,270.30714198521207,261.0979990641276,0.021601185771556786
2025-11-12,272.7276611328125,273.4700012207031,275.7300109863281,271.70001220703125,275.0,48398000,270.9385724748884,261.6986658732096,-0.006466843884820661
2025-11-13,272.2090759277344,272.95001220703125,276.70001220703125,272.0899963378906,274.1099853515625,49602800,271.35428728376115,262.2259994506836,-0.0019014480979659965
2025-11-14,271.6705017089844,272.4100036621094,275.9599914550781,269.6000061035156,271.04998779296875,47431300,271.67857142857144,262.7056666056315,-0.0019784155368063328
2025-11-17,266.73394775390625,267.4599914550781,270.489990234375,265.7300109863281,268.82000732421875,45018300,271.34857177734375,263.06466623942055,-0.018171183658773127
2025-11-18,266.7140197753906,267.44000244140625,270.7099914550781,265.32000732421875,269.989990234375,45677300,271.20142909458707,263.4299992879232,-7.473646268785217e-05
2025-11-19,267.8309631347656,268.5599975585937,272.2099914550781,265.5,265.5299987792969,40424500,271.07714407784596,263.7799992879232,0.004187836924032462
2025-11-20,265.5272521972656,266.25,275.42999267578125,265.9200134277344,270.8299865722656,45823600,269.7914297921317,264.18699951171874,-0.008601420835542384
2025-11-21,270.75299072265625,271.489990234375,273.3299865722656,265.6700134277344,265.95001220703125,59030800,269.5085710797991,265.06099904378254,0.019680714495305063
2025-11-24,275.1709899902344,275.9200134277344,277.0,270.8999938964844,270.8999938964844,65585800,269.93285696847096,266.0029993693034,0.0163174457722548
2025-11-25,276.2181701660156,276.9700012207031,280.3800048828125,275.25,275.2699890136719,46914200,270.5842851911272,266.97633260091146,0.003805406428931457
